carat,cut,color,clarity,depth,table,price,x,y,z
1.7,Premium,G,VS1,61.0,59.0,16521,7.7,7.64,4.68
0.9,Ideal,J,SI1,62.6,54.0,3102,6.16,6.23,3.88
1.01,Very Good,E,SI1,62.8,57.0,5411,6.35,6.39,4.0
0.23,Very Good,E,VVS2,61.8,58.0,530,3.92,3.94,2.43
0.42,Very Good,G,VVS2,61.2,56.0,954,4.84,4.86,2.97
1.51,Premium,E,VS2,60.1,58.0,15025,7.57,7.51,4.53
1.03,Fair,G,SI1,64.7,63.0,4424,6.36,6.31,4.1
0.5,Good,G,VVS2,63.4,57.0,1715,5.06,5.1,3.22
0.42,Very Good,F,SI1,60.6,61.0,722,4.83,4.87,2.94
1.01,Very Good,G,SI1,63.3,57.0,4185,6.37,6.35,4.02
0.52,Very Good,E,VS1,58.9,64.0,2092,5.23,5.3,3.1
1.09,Ideal,F,SI2,62.0,56.0,5306,6.62,6.58,4.09
0.31,Good,D,SI2,63.7,55.0,462,4.32,4.35,2.76
0.61,Ideal,G,VVS2,61.6,54.0,2242,5.45,5.49,3.37
0.31,Ideal,D,SI1,61.7,55.0,565,4.37,4.41,2.71
0.73,Ideal,F,SI2,61.7,57.0,2087,5.78,5.82,3.58
0.42,Ideal,G,VS1,62.5,54.0,921,4.79,4.84,3.01
0.78,Good,E,SI2,64.0,57.0,2379,5.84,5.81,3.73
1.12,Premium,I,SI1,60.8,57.0,4704,6.76,6.7,4.09
0.31,Ideal,G,IF,61.3,54.0,891,4.38,4.4,2.69
0.7,Very Good,F,VS2,63.5,56.0,2250,5.64,5.45,3.52
0.7,Fair,G,VS2,65.3,57.0,2338,5.58,5.47,3.61
1.0,Good,D,SI1,65.1,54.0,4786,6.23,6.27,4.07
1.01,Premium,H,VS2,61.5,59.0,5303,6.48,6.49,3.99
1.7,Ideal,H,I1,62.6,54.0,7197,7.63,7.58,4.77
1.0,Good,I,SI2,63.9,60.0,3465,6.26,6.3,4.01
0.7,Ideal,G,VVS2,61.6,57.0,3725,5.74,5.71,3.53
2.13,Good,H,SI2,59.2,58.0,16062,8.35,8.41,4.96
1.11,Ideal,H,SI1,61.6,56.0,5456,6.69,6.65,4.11
0.55,Ideal,G,VVS2,62.5,56.0,2129,5.25,5.22,3.27
1.03,Ideal,F,VVS1,62.6,57.0,9598,6.49,6.38,4.03
2.0,Very Good,J,SI1,62.2,59.0,12196,7.92,7.97,4.94
0.24,Ideal,F,VS2,62.2,57.0,419,3.96,4.01,2.48
0.5,Premium,F,VS2,60.6,61.0,1433,5.13,5.1,3.1
0.3,Very Good,H,VS1,63.3,57.0,675,4.25,4.22,2.68
0.31,Very Good,G,VS1,63.2,57.0,802,4.33,4.28,2.72
0.42,Premium,H,SI1,60.9,58.0,700,4.84,4.85,2.95
1.0,Good,E,SI2,63.5,54.0,4400,6.35,6.41,4.05
0.24,Very Good,E,VVS2,58.9,63.0,485,4.05,4.07,2.39
1.02,Ideal,J,VS2,62.0,56.0,4485,6.42,6.45,3.99
0.36,Premium,D,SI2,60.9,58.0,689,4.63,4.6,2.81
0.32,Very Good,F,VS2,63.0,57.0,602,4.33,4.37,2.74
0.51,Ideal,I,VS2,60.6,57.0,1060,5.16,5.21,3.14
0.54,Premium,E,VS1,62.7,60.0,2608,5.14,5.1,3.21
1.77,Ideal,J,VS1,62.2,56.0,11150,7.77,7.73,4.82
1.06,Premium,F,SI1,61.9,59.0,4155,6.57,6.52,4.05
0.38,Ideal,E,IF,62.7,55.0,1433,4.61,4.67,2.91
0.51,Very Good,D,VS1,58.8,60.0,1616,5.18,5.26,3.07
1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94
0.53,Ideal,E,VS2,62.1,56.0,1721,5.17,5.2,3.22
0.31,Very Good,G,VS1,63.2,56.0,802,4.29,4.28,2.71
2.03,Premium,H,I1,59.4,59.0,7421,8.31,8.22,4.91
1.11,Ideal,H,SI2,62.7,57.0,4578,6.59,6.66,4.14
2.11,Premium,J,SI2,60.7,60.0,12440,8.2,8.27,5.0
1.02,Premium,E,SI1,62.8,58.0,5429,6.45,6.39,4.03
0.34,Ideal,H,VS2,62.2,56.0,689,4.53,4.48,2.8
0.41,Good,I,SI1,63.8,57.0,784,4.7,4.67,2.99
0.31,Very Good,J,SI1,63.5,55.0,465,4.33,4.3,2.74
1.27,Ideal,I,VS1,62.8,57.0,6396,6.86,6.89,4.32
0.56,Premium,E,VS2,61.9,55.0,1915,5.31,5.25,3.27
0.7,Very Good,E,SI1,60.3,60.0,2312,5.77,5.81,3.49
0.51,Premium,F,SI2,58.1,59.0,1052,5.26,5.24,3.05
0.61,Good,F,VS1,61.9,60.0,2076,5.39,5.41,3.34
0.56,Very Good,E,SI1,58.5,59.0,1785,5.42,5.45,3.18
0.81,Ideal,I,VS2,61.8,56.0,2939,6.02,5.99,3.71
0.62,Ideal,H,VVS1,61.1,56.0,2197,5.48,5.52,3.36
0.76,Premium,G,I1,63.0,55.0,1629,5.83,5.74,3.65
0.35,Premium,G,VVS2,62.2,58.0,1024,4.54,4.49,2.81
1.23,Ideal,H,SI1,61.0,56.0,6439,6.96,6.92,4.23
0.32,Good,H,SI1,63.1,55.0,449,4.34,4.37,2.75
0.63,Premium,E,SI2,58.9,59.0,1169,5.64,5.6,3.31
0.33,Ideal,E,VS1,60.9,57.0,850,4.47,4.5,2.73
0.51,Good,D,VS2,63.5,56.0,1668,5.04,5.1,3.22
1.05,Premium,E,SI1,61.2,58.0,5433,6.57,6.53,4.01
0.5,Good,G,IF,64.0,55.0,2081,5.08,5.05,3.24
1.0,Premium,H,SI1,62.7,60.0,4469,6.3,6.24,3.93
1.0,Ideal,I,SI1,62.8,56.0,4237,6.33,6.38,3.99
2.02,Good,I,SI1,64.3,56.0,13286,7.85,7.99,5.09
1.5,Good,I,SI1,61.1,63.0,8254,7.27,7.34,4.46
0.39,Very Good,G,VS2,60.4,61.0,734,4.71,4.73,2.85
0.51,Fair,D,VS2,64.4,54.0,1668,5.06,5.03,3.25
1.08,Ideal,G,VS2,62.3,54.0,7187,6.59,6.61,4.11
1.09,Very Good,F,VS1,62.9,58.0,7598,6.51,6.55,4.11
0.3,Ideal,F,IF,62.1,55.0,886,4.32,4.35,2.69
0.9,Ideal,J,VS1,62.5,55.0,3175,6.18,6.14,3.85
0.34,Ideal,E,VVS2,62.3,55.0,826,4.49,4.53,2.81
0.34,Very Good,F,VVS1,61.0,56.0,939,4.52,4.53,2.76
0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
0.24,Very Good,F,VVS2,61.8,56.0,608,4.01,4.04,2.48
0.32,Ideal,F,VVS1,62.6,56.0,913,4.37,4.41,2.75
0.3,Very Good,E,VS2,62.4,56.0,658,4.25,4.28,2.66
1.58,Ideal,F,SI1,61.9,55.0,14495,7.52,7.47,4.64
0.32,Ideal,D,VS2,62.7,57.0,972,4.44,4.4,2.77
0.3,Good,G,VVS2,63.6,57.0,878,4.3,4.26,2.72
0.85,Good,G,SI1,64.9,56.0,2945,5.95,5.98,3.87
0.57,Ideal,F,VS1,62.6,56.0,1949,5.27,5.33,3.32
0.87,Ideal,G,I1,61.5,57.0,1827,6.09,6.04,3.73
0.3,Ideal,H,VS2,62.0,57.0,457,4.27,4.31,2.66
1.51,Fair,H,SI2,64.5,59.0,6291,7.21,7.15,4.63
0.51,Ideal,D,VS2,61.9,57.0,1787,5.11,5.13,3.17
0.3,Ideal,F,VS2,61.9,55.0,605,4.31,4.32,2.67
2.05,Ideal,H,VS2,61.6,57.0,18659,8.2,8.14,5.03
0.73,Fair,J,VS1,64.6,60.0,1802,5.68,5.59,3.64
1.26,Premium,H,SI1,62.2,58.0,6664,6.93,6.87,4.29
0.41,Good,F,SI1,63.3,57.0,755,4.69,4.72,2.98
0.9,Very Good,E,SI1,61.4,56.0,5387,6.19,6.23,3.81
1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
1.0,Very Good,E,SI1,62.1,57.0,4864,6.35,6.4,3.96
1.73,Very Good,I,VS1,62.2,59.0,12559,7.62,7.65,4.75
1.14,Very Good,H,VS2,59.9,57.0,5053,6.78,6.81,4.07
0.76,Premium,F,SI1,62.0,60.0,2706,5.88,5.76,3.61
0.7,Very Good,I,VVS1,62.9,58.0,2513,5.65,5.67,3.56
2.01,Very Good,I,SI1,64.1,57.0,15145,7.89,7.94,5.07
0.8,Premium,E,SI1,62.9,60.0,3091,5.89,5.87,3.7
0.55,Very Good,E,VS2,61.4,57.0,1786,5.27,5.29,3.24
0.92,Premium,E,SI2,61.8,59.0,3679,6.19,6.11,3.8
0.4,Good,F,SI1,63.1,58.0,687,4.66,4.69,2.95
1.04,Premium,G,SI1,60.3,58.0,3780,6.6,6.55,3.96
1.32,Ideal,H,VVS1,62.1,55.0,9572,6.98,7.03,4.35
0.51,Very Good,E,SI1,63.2,61.0,1443,5.08,5.05,3.2
1.52,Ideal,G,SI1,60.3,57.0,11028,7.58,7.48,4.54
0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84
0.41,Ideal,E,VVS2,61.0,56.0,1187,4.79,4.82,2.93
0.26,Ideal,G,SI1,62.2,54.0,394,4.11,4.12,2.56
0.56,Ideal,F,SI2,61.4,57.0,1279,5.3,5.33,3.26
1.0,Premium,H,SI1,62.1,56.0,4788,6.48,6.38,3.99
0.7,Ideal,E,SI1,62.3,56.0,1758,5.68,5.62,3.52
1.51,Premium,F,SI1,62.2,59.0,11607,7.34,7.3,4.55
1.0,Very Good,E,SI1,59.6,60.0,5257,6.58,6.51,3.9
0.31,Very Good,H,SI1,63.1,57.0,573,4.34,4.31,2.73
0.35,Ideal,F,VVS2,62.1,56.0,956,4.56,4.52,2.82
0.7,Very Good,I,SI1,63.2,59.0,1890,5.59,5.62,3.54
0.51,Ideal,H,SI2,61.9,54.0,983,5.13,5.15,3.18
1.02,Ideal,H,SI1,60.8,58.0,5251,6.47,6.49,3.94
0.26,Very Good,E,VVS2,61.7,60.0,599,4.11,4.12,2.54
0.7,Ideal,E,SI1,60.1,57.0,2929,5.78,5.83,3.49
0.96,Ideal,G,SI1,62.6,57.0,4355,6.28,6.24,3.92
0.33,Ideal,G,VS1,62.1,56.0,666,4.4,4.42,2.74
0.9,Good,G,SI1,64.2,58.0,3250,6.04,6.01,3.87
0.33,Ideal,E,VVS2,61.8,56.0,953,4.46,4.44,2.75
1.04,Very Good,G,SI2,62.6,58.0,4375,6.42,6.49,4.04
0.3,Very Good,D,SI2,63.0,55.0,447,4.25,4.26,2.68
0.3,Fair,E,VVS2,51.0,67.0,945,4.67,4.62,2.37
1.03,Premium,D,SI2,61.3,61.0,4764,6.49,6.46,3.97
0.72,Very Good,F,VS1,63.4,57.0,3264,5.68,5.7,3.61
1.51,Very Good,G,SI1,61.5,54.0,10947,7.35,7.42,4.54
1.21,Premium,J,VVS1,61.3,59.0,5893,6.81,6.86,4.19
1.51,Premium,I,VVS2,61.1,60.0,10623,7.33,7.36,4.49
0.32,Ideal,G,IF,61.7,54.0,918,4.42,4.46,2.74
0.51,Very Good,H,VS1,62.5,58.0,1343,5.09,5.12,3.19
0.41,Ideal,F,VS2,61.8,57.0,1107,4.78,4.73,2.94
1.21,Ideal,F,VS2,62.4,59.0,8691,6.82,6.77,4.24
1.52,Ideal,I,VS2,62.4,55.0,9352,7.35,7.4,4.6
0.92,Fair,F,SI2,65.3,58.0,3282,6.08,6.04,3.96
1.59,Premium,H,VS2,62.1,58.0,11437,7.48,7.42,4.63
0.98,Very Good,G,SI2,62.2,57.0,4542,6.33,6.37,3.95
1.22,Ideal,I,SI1,60.2,57.0,5807,6.99,6.93,4.19
2.0,Premium,J,VS1,62.0,62.0,11793,8.02,7.91,4.94
0.57,Premium,I,SI2,62.1,57.0,1097,5.33,5.29,3.3
1.52,Very Good,F,SI2,62.1,58.0,9552,7.26,7.34,4.53
0.51,Ideal,D,VS1,62.5,57.0,1873,5.13,5.08,3.19
0.3,Ideal,D,VS2,62.3,54.0,911,4.34,4.29,2.69
1.93,Premium,H,VS1,60.5,60.0,17096,8.06,7.98,4.85
0.66,Ideal,H,VS1,62.7,55.0,2222,5.6,5.57,3.5
0.79,Premium,E,VVS1,62.8,60.0,4490,5.89,5.8,3.67
1.64,Premium,I,SI2,61.3,58.0,8743,7.62,7.58,4.66
2.11,Very Good,G,I1,63.2,57.0,7834,8.13,8.07,5.12
1.65,Premium,H,VS1,60.9,62.0,9314,7.58,7.51,4.6
0.43,Ideal,I,VS1,62.2,53.0,789,4.86,4.91,3.04
0.72,Premium,J,I1,62.9,59.0,945,5.8,5.63,3.58
0.71,Very Good,G,SI1,63.3,56.0,2274,5.66,5.69,3.59
1.0,Very Good,F,SI2,61.7,58.0,3789,6.32,6.36,3.91
1.25,Premium,J,SI2,62.3,59.0,4410,6.86,6.82,4.26
1.07,Ideal,E,VS1,60.0,58.0,8998,6.66,6.7,4.01
0.62,Ideal,F,VS1,62.3,56.0,2073,5.43,5.46,3.39
1.55,Ideal,F,VS2,62.6,57.0,14185,7.35,7.39,4.61
1.02,Very Good,G,VVS2,61.3,59.0,7292,6.46,6.53,3.98
0.7,Premium,G,SI1,61.2,60.0,2042,5.7,5.74,3.5
0.41,Premium,H,SI1,62.0,59.0,683,4.78,4.8,2.97
1.23,Good,H,SI1,63.9,56.0,5889,6.81,6.77,4.34
0.38,Premium,F,VS1,60.9,58.0,933,4.68,4.71,2.86
1.19,Premium,J,SI2,58.4,60.0,4198,6.98,6.92,4.06
1.1,Ideal,E,SI2,59.4,54.0,4071,6.79,6.74,4.02
2.14,Ideal,I,VS2,62.2,57.0,13844,8.22,8.19,5.1
0.52,Ideal,G,VVS1,60.6,57.0,2387,5.21,5.26,3.17
0.61,Good,E,VS2,60.8,59.0,2124,5.41,5.48,3.31
0.4,Good,D,VS2,64.4,56.0,814,4.62,4.67,2.99
1.02,Ideal,E,VS1,60.1,57.0,8244,6.59,6.52,3.94
0.7,Ideal,F,VVS2,62.0,55.0,3191,5.71,5.67,3.53
1.0,Premium,H,VS1,61.5,57.0,5387,6.44,6.37,3.94
1.52,Premium,G,VS2,61.9,56.0,13282,7.39,7.28,4.54
0.41,Ideal,D,SI1,61.4,56.0,791,4.77,4.8,2.94
0.29,Ideal,E,VS2,60.1,56.0,619,4.3,4.34,2.6
0.3,Premium,G,VVS1,61.9,59.0,1013,4.31,4.28,2.66
2.0,Premium,I,SI2,60.0,58.0,10976,8.23,8.17,4.92
2.42,Ideal,H,SI2,62.3,57.0,16826,8.62,8.55,5.35
0.3,Very Good,H,SI1,58.7,63.0,393,4.32,4.37,2.55
0.7,Ideal,G,SI1,61.3,56.0,2480,5.73,5.78,3.53
1.0,Ideal,F,VVS2,59.7,60.0,9014,6.48,6.52,3.88
1.51,Ideal,G,VS1,61.1,57.0,14542,7.38,7.41,4.52
1.5,Premium,G,SI1,62.3,60.0,7535,7.27,7.17,4.5
0.73,Very Good,F,SI1,61.3,56.0,3023,5.78,5.84,3.56
1.08,Ideal,G,SI2,61.9,58.0,4675,6.55,6.57,4.06
1.13,Premium,G,SI2,60.0,61.0,4518,6.78,6.71,4.05
1.03,Very Good,D,VS1,60.5,60.0,8437,6.52,6.57,3.96
0.64,Ideal,H,VVS1,62.2,58.0,2308,5.49,5.51,3.42
0.36,Ideal,F,VVS2,62.4,55.0,896,4.54,4.57,2.84
0.8,Ideal,F,VS1,61.2,56.0,3860,5.98,6.01,3.67
1.09,Very Good,D,SI2,59.2,63.0,4322,6.71,6.67,3.96
0.28,Premium,E,VVS2,60.1,59.0,646,4.22,4.26,2.55
1.07,Ideal,F,SI2,62.0,56.0,5077,6.51,6.55,4.09
0.42,Ideal,G,VS1,61.8,57.0,984,4.82,4.79,2.97
0.41,Very Good,G,IF,60.9,59.0,1197,4.8,4.85,2.94
0.26,Premium,E,VS2,62.1,56.0,580,4.13,4.11,2.56
0.3,Ideal,I,SI1,62.5,58.0,422,4.25,4.29,2.67
0.51,Ideal,E,SI1,61.1,56.0,1343,5.17,5.2,3.17
1.7,Ideal,I,VS1,60.1,57.0,12099,7.8,7.77,4.68
1.0,Very Good,D,SI2,63.2,57.0,4628,6.24,6.32,3.97
0.9,Premium,G,SI1,62.7,58.0,3774,6.13,6.08,3.83
0.85,Very Good,E,SI2,63.1,58.0,2966,6.02,6.0,3.79
1.52,Premium,J,VS2,62.0,59.0,7758,7.28,7.31,4.52
1.21,Ideal,H,SI2,62.6,56.0,5624,6.84,6.77,4.26
0.4,Very Good,H,VS1,61.8,53.0,770,4.76,4.78,2.95
2.04,Very Good,H,SI1,63.0,58.0,17952,8.03,8.1,5.08
0.41,Very Good,F,IF,63.3,56.0,1255,4.69,4.75,2.99
0.23,Very Good,F,VVS2,60.8,59.0,472,3.97,3.99,2.42
0.34,Ideal,I,SI1,61.9,57.0,459,4.44,4.48,2.76
0.75,Very Good,F,SI1,62.1,57.0,2500,5.82,5.88,3.63
0.31,Ideal,G,SI1,62.2,55.0,593,4.38,4.36,2.72
0.37,Ideal,F,VS2,60.6,56.0,746,4.63,4.64,2.81
1.01,Premium,F,SI2,62.6,60.0,4497,6.37,6.35,3.98
0.57,Ideal,E,VS1,61.6,55.0,1884,5.32,5.36,3.29
0.32,Ideal,G,SI1,62.5,55.0,477,4.35,4.38,2.73
0.31,Premium,E,SI1,59.3,59.0,544,4.42,4.48,2.64
0.5,Premium,E,VS2,62.6,58.0,1559,5.07,5.12,3.19
0.51,Very Good,D,VVS2,62.4,58.0,2220,5.1,5.13,3.19
1.12,Ideal,G,VS2,62.2,54.0,6774,6.65,6.62,4.13
1.09,Premium,F,VS1,60.9,58.0,8204,6.67,6.63,4.05
0.71,Ideal,E,VS1,60.4,56.0,3238,5.8,5.85,3.52
0.71,Fair,G,SI1,65.5,55.0,2300,5.59,5.56,3.65
1.11,Ideal,H,SI2,62.6,56.0,4719,6.58,6.65,4.14
1.01,Ideal,F,VS1,61.7,56.0,8552,6.48,6.45,3.99
1.0,Premium,E,SI2,60.6,61.0,4390,6.44,6.39,3.89
1.21,Ideal,F,SI2,61.8,57.0,6105,6.87,6.82,4.23
1.52,Ideal,G,VS2,61.5,56.0,13153,7.38,7.45,4.56
0.71,Very Good,G,VVS2,62.8,58.0,3281,5.69,5.75,3.59
0.76,Ideal,E,VS2,61.3,56.0,3079,5.79,5.83,3.56
0.32,Ideal,D,VS2,60.5,56.0,758,4.45,4.48,2.7
2.16,Very Good,H,SI2,62.3,60.0,14824,8.19,8.31,5.14
0.33,Ideal,E,VS2,61.5,57.0,928,4.47,4.41,2.73
1.0,Good,D,SI1,64.8,58.0,5013,6.23,6.27,4.05
1.2,Very Good,J,SI2,61.8,56.0,4102,6.81,6.85,4.22
0.3,Very Good,D,VS1,60.1,58.0,666,4.35,4.37,2.62
0.33,Ideal,E,SI1,59.6,57.0,644,4.53,4.49,2.69
0.4,Ideal,G,VVS1,62.4,54.0,1043,4.74,4.78,2.97
0.31,Ideal,G,VS1,62.4,55.0,625,4.33,4.35,2.71
0.41,Ideal,F,VS2,62.3,57.0,863,4.75,4.78,2.97
0.74,Premium,E,VS2,62.7,58.0,3228,5.77,5.72,3.6
1.24,Ideal,J,SI2,60.1,57.0,4783,7.02,6.98,4.21
0.71,Premium,I,VS2,60.4,60.0,2300,5.8,5.72,3.48
0.41,Ideal,F,VS2,61.4,55.0,863,4.78,4.83,2.95
0.32,Ideal,G,IF,61.9,55.0,918,4.38,4.44,2.73
0.31,Ideal,I,VVS1,61.2,55.6,536,4.33,4.38,2.67
0.3,Ideal,G,VVS1,61.7,57.0,764,4.31,4.35,2.67
0.91,Premium,H,VS2,61.8,60.0,4238,6.22,6.18,3.83
1.51,Ideal,F,SI1,62.4,56.0,11950,7.34,7.4,4.6
0.59,Very Good,H,VS2,61.8,56.0,1552,5.37,5.41,3.33
0.7,Very Good,D,VVS2,62.3,56.0,3622,5.66,5.7,3.54
1.02,Premium,F,VS1,62.7,55.0,7677,6.43,6.37,4.01
0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.37,2.7
0.3,Ideal,G,VVS2,63.0,57.0,878,4.32,4.28,2.71
1.0,Premium,F,VS2,59.9,60.0,5606,6.11,6.07,3.65
1.01,Premium,G,VS2,61.8,59.0,5946,6.45,6.4,3.97
1.01,Premium,F,VS1,62.4,61.0,7127,6.39,6.36,3.98
1.01,Premium,G,VS2,62.1,59.0,5864,6.43,6.38,3.98
1.13,Ideal,I,VS2,62.2,55.0,5165,6.69,6.67,4.15
0.52,Ideal,F,VS2,61.3,57.0,1624,5.22,5.19,3.19
0.7,Ideal,D,VS2,61.4,55.0,3360,5.71,5.75,3.52
2.01,Fair,D,SI2,59.4,66.0,15627,8.2,8.17,4.86
1.2,Premium,H,SI2,62.4,61.0,5040,6.81,6.78,4.24
